ID;in_degree;out_degree;betweenness;closeness;eigenvector;clustering_coeff;pagerank;hubs;authorities;max_clique;cliques_count;overtime;work_at_weekend
17;0.7565789473684209;0.8289473684210525;0.19388288602300446;7.4622601306042;0.0838862329338754;0.004287890565534529;0.01591406088369851;0.00533470490153084;0.03212935665298415;23;7076;916;16
37;0.43421052631578944;0.43421052631578944;0.0173841059602649;7.445273378822052;0.08426895662595013;0.006431040273921493;0.010202483278840336;0.004179847995648472;0.007328821817208211;22;1199;1;0
136;0.43421052631578944;0.4144736842105263;0.02884280237016382;7.432151771427325;0.0842717347876649;0.014929464447397678;0.046497675617551165;0.006099512797411056;0.07360725460622429;23;1106;26;2
62;0.4013157894736842;0.4144736842105263;0.04905890554200069;7.459777006003576;0.08415621743437939;0.007747386168384681;0.015194168672016287;0.010108950622332162;0.01264884112403734;23;745;66;17
129;0.3289473684210526;0.3289473684210526;0.0038776577204600905;7.449286585622983;0.08435452472323456;0.007263884940080951;0.01187205072513987;0.0037199801423995526;0.009280185584022226;21;690;4;0
32;0.2763157894736842;0.2763157894736842;0.0006099686301847334;7.4344712691511186;0.08372945216921092;0.006382718372475931;0.004848386782491644;0.004390472836566321;0.00550068993182415;18;237;52;0
97;0.4802631578947368;0.4802631578947368;0.0016120599512025097;7.45670849737291;0.08415525448646789;0.005559452669005658;0.007867079159442144;0.0062825964093168075;0.006501725034089728;22;2135;1;0
19;0.375;0.3355263157894737;0.005663994423143953;7.440403083478626;0.0842995023609021;0.007978108072988328;0.012258201807348372;0.017256139976803808;0.009657983502931929;23;666;0;0
148;0.4144736842105263;0.4013157894736842;0.006971070059254096;7.4390554115089325;0.08413609780048596;0.00860690668246982;0.014215795857063368;0.005278527893365035;0.010774042264462365;23;1671;0;0
105;0.3947368421052632;0.3684210526315789;0.0;7.46948172519212;0.08381399850763724;0.005474775168968668;0.004828483181832145;0.004092716587179356;0.003716594958720136;21;850;1;0
158;0.15789473684210525;0.1513157894736842;0.0;7.423531649855199;0.0843436901040914;0.008630768363998181;0.004880002926606955;0.00481943527845422;0.0018313976277752747;16;36;24;0
41;0.17763157894736842;0.1644736842105263;4.3569187870338104e-05;7.433251856245282;0.08448336148487562;0.010680756884192372;0.008189928786711185;0.006644941316818235;0.0041060658790205845;17;31;0;0
133;0.4144736842105263;0.4013157894736842;0.024747298710352042;7.432897691169205;0.08434801376193386;0.008175061032965194;0.02789579968634621;0.01318580380841663;0.01524299143138654;23;972;200;21
11;0.4078947368421053;0.4078947368421053;0.06910073196235622;7.447124508501343;0.08434686401271835;0.006780636521881735;0.022317667615086297;0.005568675822084413;0.03050101737922265;22;1272;0;0
90;0.42105263157894735;0.36184210526315785;0.017122690833042874;7.44440547697618;0.08442436447554459;0.01058722229373403;0.028218716742080676;0.003596380185741193;0.03623654282186405;22;1385;13;0
146;0.1381578947368421;0.13157894736842105;0.0;7.437450476205348;0.0842059319349378;0.011079126335601295;0.0030964924598909996;0.008809310442419357;0.0011488899082004193;15;13;23;0
161;0.23026315789473684;0.21052631578947367;0.00413907284768212;7.438674829003384;0.08440964678254284;0.009848640453224105;0.011467635371795412;0.01293306853266978;0.004843648918430718;21;86;0;0
39;0.5263157894736842;0.513157894736842;0.003834088532589753;7.418113416334699;0.08422815013453215;0.007666780510399155;0.01618691861823853;0.008608710792852197;0.049721612067736745;23;2017;51;0
81;0.2368421052631579;0.2434210526315789;0.0;7.460574069688802;0.08417258844834648;0.009070667115477157;0.006785973113597943;0.00960067997639982;0.005839723565802641;19;177;3;0
112;0.2894736842105263;0.3157894736842105;0.0;7.432379658063168;0.0839861755538633;0.007894904275675007;0.006875319215029034;0.013037768570758522;0.0067215909341011865;21;237;72;0
60;0.35526315789473684;0.2697368421052632;0.0005228302544440571;7.457844987396848;0.08410591210572672;0.006800585940991387;0.006885404387079356;0.004283771027208475;0.006422322335968034;20;444;0;0
57;0.3355263157894737;0.28289473684210525;0.0;7.456756769349531;0.08402312968325003;0.007426667538138713;0.00683700257821824;0.003236698245384273;0.004789290074925362;21;642;0;0
94;0.4934210526315789;0.43421052631578944;0.0;7.468248331643278;0.08397769301836902;0.004924791033124282;0.006127137060645858;0.0038668103197759774;0.007968042930269027;21;1555;0;0
77;0.2631578947368421;0.2631578947368421;0.0;7.453754173874512;0.08411539531275168;0.012002509465328107;0.00802207713321896;0.0045870204929911295;0.00829152059075176;19;372;0;0
162;0.21052631578947367;0.20394736842105265;0.0;7.471712304066207;0.08416581084354606;0.008992283176476339;0.004287528368281793;0.003939418701517432;0.0031900096583032515;18;75;32;0
33;0.3223684210526316;0.2960526315789473;0.0206953642384106;7.475903081457987;0.08403211027544065;0.006915668888486233;0.007791595327468848;0.004792650392919149;0.008857163830461305;22;471;0;0
